title;artist;top genre;year;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop
Propuesta Indecente;Romeo Santos;bachata;2014;123;63;76;-7;7;74;235;50;5;75
Rewrite The Stars (with James Arthur & Anne-Marie);James Arthur;pop;2018;126;74;67;-5;47;57;218;24;4;75
The A Team;Ed Sheeran;pop;2011;85;29;64;-10;18;41;258;67;4;75
"My Heart Will Go On - Love Theme from ""Titanic""";Céline Dion;canadian pop;1997;99;28;43;-12;12;4;280;73;3;75
Hurts Like Hell (feat. Offset);Madison Beer;dance pop;2018;75;56;70;-7;9;61;207;19;18;75
Dura;Daddy Yankee;latin;2018;95;84;78;-3;41;84;200;17;5;75
Unwritten;Natasha Bedingfield;dance pop;2004;100;80;71;-6;8;63;259;1;4;75
Say My Name;Destiny's Child;dance pop;1999;138;68;71;-4;15;73;271;27;10;75
Échame La Culpa;Luis Fonsi;latin;2019;96;90;73;-4;12;65;174;4;4;75
Young And Beautiful;Lana Del Rey;art pop;2013;114;42;32;-9;11;15;236;26;4;75
Versace on the Floor;Bruno Mars;pop;2016;174;57;58;-6;8;30;261;20;5;75
What About Us;P!nk;dance pop;2017;114;59;49;-6;9;19;270;3;5;75
Rolling in the Deep;Adele;british soul;2011;105;76;73;-5;5;52;228;13;3;75
Ocean Drive;Duke Dumont;dance pop;2015;115;72;69;-5;12;56;206;1;4;75
...Baby One More Time;Britney Spears;dance pop;1999;93;70;76;-6;44;91;211;20;3;75
Wrecking Ball;Miley Cyrus;dance pop;2013;120;42;53;-6;11;35;221;41;3;75
Let Her Go;Passenger;folk-pop;2013;75;55;48;-7;10;24;253;37;7;75
Clocks;Coldplay;permanent wave;2002;131;75;58;-7;18;26;308;60;3;75
Reggaetón Lento (Bailemos);CNCO;boy band;2016;94;84;76;-3;18;71;223;40;5;74
Insomnia;Daya;dance pop;2019;123;65;75;-5;38;38;180;9;6;74
Perfect to Me;Anne-Marie;dance pop;2018;180;55;60;-6;7;40;198;9;15;74
DDU-DU DDU-DU;BLACKPINK;k-pop;2018;140;86;67;-4;27;39;209;3;8;74
Shape of My Heart;Backstreet Boys;boy band;2000;96;79;57;-4;16;52;230;25;3;74
Love You Like A Love Song;Selena Gomez & The Scene;dance pop;2011;117;68;86;-4;7;92;188;8;5;74
Heart Attack;Demi Lovato;dance pop;2013;174;79;50;-5;24;50;211;7;10;74
Big Girls Don't Cry (Personal);Fergie;dance pop;2006;113;64;71;-4;9;25;268;21;3;74
Grenade;Bruno Mars;pop;2010;110;56;71;-7;12;23;223;15;6;74
Waves;Dean Lewis;australian pop;2019;157;73;52;-7;6;34;240;18;5;74
We Found Love;Rihanna;barbadian pop;2011;128;77;73;-4;11;60;215;3;4;74
Skinny Love;Birdy;neo mellow;2011;166;29;38;-8;12;17;201;95;5;74
Tuesday (feat. Danelle Sandoval);Burak Yeter;electro house;2016;99;64;84;-6;5;68;242;2;7;74
Karma Police;Radiohead;alternative rock;1997;75;51;36;-9;17;32;264;6;3;74
Superheroes;The Script;celtic rock;2014;167;89;49;-4;7;64;245;0;4;74
My Immortal;Evanescence;alternative metal;2003;79;27;19;-9;13;10;263;86;4;74
Womanizer;Britney Spears;dance pop;2009;139;70;72;-5;9;24;224;7;6;74
Animals;Maroon 5;pop;2015;190;74;28;-6;59;33;231;0;9;74
Total Eclipse of the Heart;Bonnie Tyler;europop;1999;130;66;44;-8;10;18;270;20;7;74
Downtown;Anitta;baile pop;2017;166;68;78;-5;7;62;193;18;14;74
Bad Things (with Camila Cabello);Machine Gun Kelly;pop rap;2017;138;69;70;-5;19;31;239;21;15;73
Say Love;James TW;neo mellow;2019;84;45;75;-8;37;54;221;11;6;73
Look What You Made Me Do;Taylor Swift;dance pop;2017;128;71;77;-6;13;51;212;20;12;73
Goodbyes (feat. Young Thug);Post Malone;dfw rap;2019;150;65;59;-4;11;18;175;41;7;73
You Found Me;The Fray;neo mellow;2009;152;80;34;-5;14;40;242;2;4;73
Skyfall - Full Length;Adele;british soul;2012;76;55;35;-7;11;8;286;42;3;73
Mama;Jonas Blue;dance pop;2018;104;79;74;-4;5;57;184;10;4;73
Lean On;Major Lazer;dance pop;2015;98;81;72;-3;56;27;177;0;6;73
Give Me Love;Ed Sheeran;pop;2011;116;33;53;-10;11;11;526;69;5;73
Breakeven;The Script;celtic rock;2008;94;70;63;-5;8;53;261;17;2;73
Back to You (feat. Bebe Rexha & Digital Farm Animals);Louis Tomlinson;dance pop;2017;75;53;68;-5;39;65;190;21;14;73
Counting Stars;OneRepublic;dance pop;2014;122;71;66;-5;12;48;258;7;4;73
Talking to the Moon;Bruno Mars;pop;2010;146;61;52;-5;11;7;218;51;3;73
Party In The U.S.A.;Miley Cyrus;dance pop;2009;96;70;65;-5;9;47;202;0;4;73
